palabra,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31,dim_32,dim_33,dim_34,dim_35,dim_36,dim_37,dim_38,dim_39,dim_40,dim_41,dim_42,dim_43,dim_44,dim_45,dim_46,dim_47,dim_48,dim_49
traversal,-0.87482584,-0.08017029,0.13265468,0.52235484,0.28988397,-0.23694354,0.17412546,0.2620174,-0.33710808,-0.18310334,-0.1713096,0.005562359,-0.5400229,0.28898063,0.10338441,0.060785014,-0.7468423,0.2912168,0.7922825,-0.5928211,0.37473977,-0.48494622,0.3357404,-0.37070775,-0.04346437,-0.5667176,-0.14975692,-0.1673769,0.14840737,-0.22373056,0.075856104,-0.6203009,-0.33816394,-0.5118678,-0.008121401,-0.05801114,-0.03872053,0.050989583,-0.065122545,-0.22842607,0.5255818,0.11093164,0.16996564,0.2293185,0.21846522,0.3114236,-0.22160086,-0.021219993,0.44035983,-0.5794553
recorrido,-0.07773371,-0.28464785,-0.045915496,0.20877993,0.6021136,-0.7175644,-0.013582749,0.2963777,-0.25020742,-0.0008730069,-0.07224548,0.26991493,0.4599373,0.3250875,-0.11366823,-0.4021699,0.088336855,-0.30698186,0.5349541,-0.50906134,0.15978956,-0.64594835,-0.15753557,-0.92125845,-0.06950194,-0.71102685,-0.24297565,0.035885323,-0.24303706,-0.22717659,0.30400288,-0.9134506,0.24804677,0.4837293,0.2242364,0.38728127,-0.45446205,-0.14868453,0.24114443,-0.08468081,0.44356543,0.16740206,0.49576443,0.75038993,-0.34979668,-0.19577962,-0.28577393,0.44993505,0.43407503,-0.2743678
permite,-0.96843827,0.21121591,0.008026254,0.7520611,0.6303166,0.0024179118,-0.19794801,0.27484688,0.048480988,-0.3397902,-0.05921662,-0.57399964,-0.47051924,0.58289766,-0.05441596,0.05192174,-0.16774441,0.4778059,0.10902872,-0.62773436,0.18760243,-0.29015428,0.5052471,-0.48508388,-0.14733535,-0.15778328,-0.7075081,-0.39670837,0.74027866,-0.47214273,0.13846862,-0.43205345,-0.6581863,-0.19944958,0.1332619,-0.32124835,0.26254523,-0.23331317,0.2880194,0.072675325,0.6199576,-0.06590496,0.119433746,0.17934324,-0.033839956,0.6281524,0.16318397,-0.00017662614,0.9990954,-0.06342569
directorio,0.38414064,0.02218141,-0.34623033,0.0630329,0.80657107,0.33916062,-0.42390224,0.526845,0.4790883,-0.56525254,-0.11787896,-0.7433175,-0.3775105,0.19694355,-0.034866326,0.26788068,0.11441507,0.31627336,-1.124696,-0.02613429,0.0912091,0.08253989,0.16429502,0.25449014,0.42517367,0.06003333,-0.29986167,-0.3725415,0.8594579,-0.31744838,0.2671718,-0.16012754,0.0051641893,0.34552518,0.089072786,-0.25814727,0.55446726,-0.3790725,0.26788628,0.19082399,0.057246804,-0.3564113,0.4964666,0.026161516,-0.40398857,0.44949308,0.13436057,0.3203752,1.0605681,0.28918296
autorizado,0.0057315677,-0.11141203,-0.10285248,-0.28853774,0.4266231,0.5057043,-0.4078987,0.26701292,0.28999856,-0.08030831,-0.16741353,-0.19398288,-0.112330474,-0.06021852,0.56791645,0.29795814,0.08898132,0.046999257,-0.398848,-0.52744925,0.59965914,-0.31448886,0.06790565,0.24330416,0.4695295,-0.10083914,-0.07512353,0.2578065,0.6968906,-0.21961266,0.35678142,-1.0144955,-0.80724573,0.056094058,0.33442554,0.09747147,0.48121455,-0.10263578,-0.0041384855,-0.3023165,0.024108695,0.008870804,0.39008975,0.5160851,-0.048860267,0.39387366,-0.85777396,-0.14186993,1.1052278,-0.4659886
usando,0.2036792,-0.23256423,-0.48977104,0.44725353,0.98199606,0.0100490805,-0.11542508,0.45475024,-0.25081438,-0.031217007,-0.14963202,0.12898836,-0.41371444,0.28265035,-0.14000341,-0.5075527,0.11459208,0.40347162,-0.4507281,0.017949184,-0.0105680525,-0.124825746,0.2983747,-0.9963646,0.5865448,-0.19191587,-0.07358317,-0.17725623,0.5012684,0.6794222,0.23215559,-0.28585845,-0.2762096,0.18735182,0.21264662,0.5648065,0.23857053,0.08352254,-0.10064323,-0.6226116,-0.4202186,0.33537516,0.80886847,0.56820154,0.2970871,0.48626748,-0.36663482,-0.04496104,0.72459096,-0.5148147
etc,-0.7842706,0.05001495,-0.21473004,0.53157663,0.49295443,-0.34556416,-0.23125853,0.3484152,-0.118549444,-0.62650025,-0.2936997,0.032259077,0.10930653,0.46601367,0.20439067,-0.37119925,0.60931456,0.67902386,0.35090485,-0.48968646,0.018964916,-0.13045225,0.59478986,-1.1762614,-0.57525736,-0.3131723,-0.3958932,-0.27297732,0.54121304,0.5424116,0.43681985,0.4663204,-0.56544775,0.2733771,0.37545365,-0.20207752,0.0117895445,0.21610223,-0.016206779,-0.15224539,-0.2414767,0.49075845,0.79804075,0.146487,0.014429228,0.56110895,0.42887062,0.1454743,0.45803314,-0.06683558
passwd,-0.3574173,0.37829465,-0.09572993,0.7940291,0.66728306,0.52669734,0.07145219,0.27136454,0.24938942,-0.65729344,0.49308753,-0.27694586,0.2567861,0.47980216,0.08802338,-0.21635242,0.62413496,0.16630706,-1.0209621,-0.6029423,0.027675902,0.19409136,0.7416651,-0.46623155,-0.55492526,0.7632698,-0.2500694,-0.29426393,0.8835178,-0.32711944,0.102339,-0.07931028,-0.10108814,0.11320524,0.11011688,-0.10853024,0.4083136,-0.14190544,0.29301262,0.18777412,-0.19973548,0.25789508,-0.30183902,0.28425106,-0.6155724,0.41051742,0.4612615,0.16133894,0.43282497,0.32779917
criticos,-0.49267894,0.26152998,-0.19005394,0.36343303,0.17312515,0.27844307,-0.53988504,0.36141896,0.7132716,0.15506624,0.07571644,-0.6934686,0.28570727,0.09135507,0.3060141,0.04296247,0.6540021,0.3836851,-0.2438749,-0.6093452,-0.4349146,-0.26957008,0.17524628,0.001123732,-0.10473654,0.1275875,0.057993717,-0.52476305,0.68017304,0.061224647,-0.17652509,0.18815385,-0.20483232,0.22593398,0.28592098,-0.27919468,0.35606304,-0.50716895,0.33115268,0.21404202,0.7917922,-0.69437474,-0.12573063,0.09457506,-0.14967634,0.32583562,0.17049553,0.13415536,1.2223778,0.81140095
access,-0.42587158,0.47348353,-0.4787453,-0.17083484,0.07582675,-0.009097779,-1.0484155,-0.03143864,0.18536778,0.49528122,0.3787433,0.50329185,0.75806034,0.31636348,0.3965798,-0.6501282,0.6706718,0.12474772,0.3721781,0.045231212,0.19063684,0.18301174,-0.6518548,0.22733265,-0.19128023,-0.29593867,0.26052004,0.07697292,0.31638506,-0.3184828,-0.43694204,0.11413435,0.29667225,-0.11111578,-0.6424476,0.16725041,-0.052864145,-0.2536121,-0.23607829,-0.7372994,0.087419964,-0.1973509,0.12230753,-0.16489924,0.06295182,0.4609161,0.038283102,0.20197937,0.3234591,1.3137543
